dataset,model_label,test_temperature,split,energy_mae_meV_atom,energy_rmse_meV_atom,forces_mae_meV_A,forces_rmse_meV_A,source_file,notes
organic,MatterSim,300K,test_300K,0.668864347,0.842537021,32.542574670,45.489514842,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mattersim/test_300K.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MatterSim,600K,test_600K,1.144231636,1.451672159,57.434315622,83.203365310,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mattersim/test_600K.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MatterSim,1200K,test_1200K,3.464716791,4.609007331,137.440116076,217.704820110,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mattersim/test_1200K.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MACE,300K,test_300K,0.569818976,0.678810855,18.569222160,25.892802761,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mace/test_300K.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MACE,600K,test_600K,0.953002409,1.208691746,33.851347442,49.835051013,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mace/test_600K.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MACE,1200K,test_1200K,1.825729923,2.364865893,74.919010816,121.753520736,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mace/test_1200K.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MTP-16,300K,test_300K,1.965594000,2.578954000,172.175900000,251.039200000,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mtp/test_300K_mtp16.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MTP-16,600K,test_600K,4.677083000,6.495860000,256.605100000,375.815700000,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mtp/test_600K_mtp16.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MTP-16,1200K,test_1200K,14.777900000,20.442030000,441.936600000,748.242900000,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mtp/test_1200K_mtp16.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MTP-20,300K,test_300K,1.632113000,2.099471000,140.196000000,205.931700000,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mtp/test_300K_mtp20.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MTP-20,600K,test_600K,3.725958000,5.030732000,218.808800000,331.139900000,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mtp/test_600K_mtp20.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
organic,MTP-20,1200K,test_1200K,10.244110000,13.463010000,402.400300000,661.379600000,PRESENTATION/00_inbox/presentation_full_context.zip::repo/coursework/cross_temp_eval/results/mtp/test_1200K_mtp20.json,preferred repo_cross_temp_preferred rows; checked against source JSON; dated snapshot duplicates match
